recordingID	SpeakerID	gross duration	net duration	in/out	languageID	nativeness	sex	filename	recordingID other line	lawaai	ruis	muziek_hoorbaar	achtergrondspreker	auto	galm	beller_welke_emotie	beller_fluistert	beller_stemverheffing	beller_leeftijd	beller_formeel	beller_regionaal_accent	beller_spontaniteit	annotatorID	Transcribed
1	30786	86	25.416	2	4	moedertaal	M	30786_0001.wav	174	ja	zwak	nee	nee	ja	nee	nee	nee	nee	volwassene	nee	nee	dialoog	aaa	FALSE
2	30786	206	9.536	2	4	moedertaal	M	30786_0002.wav	None	nee	zwak	langdurig	ja	nee	ja	nee	nee	nee	volwassene	ja	nee	dialoog	aaa	FALSE
3	30786	62	6.784	1	4	moedertaal	M	30786_0003.wav	93	nee	zwak	nee	nee	nee	nee	nee	nee	nee	volwassene	nee	nee	dialoog	aaa	FALSE
4	30786	62	12.04	1	4	moedertaal	M	30786_0004.wav	94	nee	zwak	nee	nee	ja	nee	nee	nee	nee	volwassene	nee	nee	dialoog	aaa	FALSE
5	30786	114	34.256	2	4	moedertaal	M	30786_0005.wav	225	ja	zwak	nee	ja	ja	nee	nee	nee	nee	volwassene	nee	nee	dialoog	aaa	FALSE
6	30786	73	14.352	1	4	moedertaal	M	30786_0006.wav	95	nee	zwak	nee	ja	ja	nee	nee	nee	nee	volwassene	nee	nee	dialoog	aaa	FALSE
7	30786	108	46.856	1	4	moedertaal	M	30786_0007.wav	169	nee	zwak	nee	ja	nee	nee	nee	nee	nee	volwassene	nee	nee	dialoog	aaa	FALSE
8	30786	168	63.368	2	4	moedertaal	M	30786_0008.wav	135	ja	zwak	nee	nee	ja	nee	nee	nee	nee	volwassene	nee	nee	dialoog	aaa	FALSE
9	30786	198	66.096	1	4	moedertaal	M	30786_0009.wav	96	ja	nee	nee	ja	nee	nee	nee	nee	nee	volwassene	nee	nee	dialoog	aaa	FALSE
10	30786	157	62.344	2	4	moedertaal	M	30786_0010.wav	97	nee	zwak	nee	ja	nee	nee	nee	nee	nee	volwassene	nee	nee	dialoog	aaa	FALSE
11	30786	254	91.472	1	4	moedertaal	M	30786_0011.wav	98	ja	zwak	nee	ja	ja	nee	kort	nee	nee	volwassene	nee	nee	dialoog	aaa	FALSE
12	30786	113	15.592	2	4	moedertaal	M	30786_0012.wav	323	nee	zwak	nee	nee	ja	nee	nee	nee	nee	volwassene	nee	nee	dialoog	aaa	FALSE
13	30786	108	19.056	1	4	moedertaal	M	30786_0013.wav	None	ja	zwak	nee	ja	nee	nee	nee	nee	nee	volwassene	nee	nee	dialoog	aaa	FALSE
14	30786	189	64.216	1	4	moedertaal	M	30786_0014.wav	136	nee	zwak	nee	nee	nee	ja	nee	nee	nee	volwassene	nee	nee	dialoog	aaa	FALSE
15	30786	227	66.992	1	4	moedertaal	M	30786_0015.wav	99	nee	zwak	nee	nee	ja	ja	kort	nee	kort	volwassene	nee	nee	dialoog	bbb	FALSE
16	30786	250	99.784	2	4	moedertaal	M	30786_0016.wav	None	ja	matig	nee	nee	ja	nee	nee	nee	nee	volwassene	nee	nee	dialoog	aaa	TRUE
17	30786	88	23.112	2	4	moedertaal	M	30786_0017.wav	1024	ja	zwak	nee	nee	ja	nee	nee	nee	nee	volwassene	nee	nee	dialoog	ccc	FALSE
18	30786	76	24.168	1	4	moedertaal	M	30786_0018.wav	1012	ja	zwak	nee	ja	nee	ja	nee	nee	nee	volwassene	nee	nee	dialoog	bbb	FALSE
19	30786	112	47.672	2	4	moedertaal	M	30786_0019.wav	646	nee	zwak	nee	nee	nee	nee	nee	nee	nee	volwassene	nee	nee	dialoog	bbb	FALSE
20	30786	102	17.92	1	4	moedertaal	M	30786_0020.wav	203	nee	zwak	kort	nee	ja	ja	nee	nee	nee	volwassene	nee	nee	dialoog	bbb	FALSE
21	30786	79	21.152	2	4	moedertaal	M	30786_0021.wav	735	ja	nee	nee	ja	nee	nee	nee	nee	nee	volwassene	nee	nee	dialoog	ccc	FALSE
22	30786	130	15.816	2	4	moedertaal	M	30786_0022.wav	103	nee	zwak	langdurig	nee	nee	ja	nee	nee	nee	volwassene	nee	nee	dialoog	bbb	FALSE
23	30786	102	34.816	2	4	moedertaal	M	30786_0023.wav	204	nee	zwak	nee	nee	ja	ja	nee	nee	nee	volwassene	nee	nee	dialoog	bbb	FALSE
24	30786	152	29.456	1	4	moedertaal	M	30786_0024.wav	105	nee	zwak	nee	nee	nee	ja	kort	nee	kort	volwassene	nee	nee	dialoog	bbb	FALSE
25	30786	143	57.032	1	4	moedertaal	M	30786_0025.wav	650	nee	zwak	nee	nee	ja	ja	nee	nee	nee	volwassene	nee	nee	dialoog	bbb	FALSE
26	30786	80	23.992	1	4	moedertaal	M	30786_0026.wav	651	ja	nee	nee	nee	ja	nee	nee	nee	nee	volwassene	nee	nee	dialoog	ccc	FALSE
27	30786	75	35.08	2	4	moedertaal	M	30786_0027.wav	652	ja	zwak	nee	nee	nee	ja	nee	nee	nee	volwassene	nee	nee	dialoog	bbb	FALSE
28	30786	65	8.48	1	4	moedertaal	M	30786_0028.wav	106	nee	zwak	nee	ja	nee	ja	nee	nee	nee	volwassene	nee	nee	dialoog	bbb	FALSE
29	30786	156	47.88	2	4	moedertaal	M	30786_0029.wav	107	nee	zwak	nee	ja	nee	ja	nee	nee	nee	volwassene	nee	nee	dialoog	bbb	FALSE
30	30786	87	25.256	2	4	moedertaal	M	30786_0030.wav	205	nee	zwak	nee	ja	nee	ja	nee	nee	nee	volwassene	nee	nee	dialoog	bbb	FALSE
31	30786	228	57.672	2	4	moedertaal	M	30786_0031.wav	165	nee	nee	nee	ja	ja	ja	nee	nee	nee	volwassene	nee	nee	dialoog	bbb	FALSE
32	30786	72	18.624	1	4	moedertaal	M	30786_0032.wav	1014	nee	zwak	nee	ja	nee	ja	nee	nee	nee	volwassene	nee	nee	dialoog	bbb	FALSE
33	30786	87	35.936	2	4	moedertaal	M	30786_0033.wav	207	nee	zwak	kort	nee	ja	ja	nee	nee	nee	volwassene	nee	nee	dialoog	bbb	FALSE
34	30786	85	23.104	1	4	moedertaal	M	30786_0034.wav	229	nee	zwak	nee	nee	ja	ja	nee	nee	nee	volwassene	nee	nee	dialoog	bbb	FALSE
35	30786	126	58.544	2	4	moedertaal	M	30786_0035.wav	654	nee	zwak	nee	nee	ja	nee	nee	nee	nee	volwassene	nee	ja	dialoog	ccc	FALSE
36	30786	88	17.904	2	4	moedertaal	M	30786_0036.wav	109	nee	zwak	nee	nee	nee	ja	nee	nee	nee	volwassene	nee	nee	dialoog	bbb	FALSE
37	30786	128	37.488	2	4	moedertaal	M	30786_0037.wav	590	nee	nee	nee	ja	nee	ja	nee	nee	nee	volwassene	nee	nee	dialoog	bbb	FALSE
38	30786	306	105.652	2	4	moedertaal	M	30786_0038.wav	1027	ja	zwak	nee	nee	ja	nee	nee	nee	nee	volwassene	nee	nee	dialoog	ccc	TRUE
39	30786	157	45.712	2	4	moedertaal	M	30786_0039.wav	210	nee	zwak	kort	nee	ja	ja	nee	nee	nee	volwassene	nee	nee	dialoog	bbb	FALSE
40	30786	107	36.208	2	4	moedertaal	M	30786_0040.wav	592	nee	zwak	nee	nee	nee	ja	nee	nee	nee	volwassene	nee	nee	dialoog	bbb	FALSE
41	30786	71	14.6	2	4	moedertaal	M	30786_0041.wav	1017	ja	nee	nee	ja	nee	ja	nee	nee	nee	volwassene	nee	nee	dialoog	bbb	FALSE
42	30786	93	23.568	2	4	moedertaal	M	30786_0042.wav	230	nee	zwak	nee	ja	nee	nee	nee	nee	nee	volwassene	nee	nee	dialoog	bbb	FALSE
43	30786	141	49.264	1	4	moedertaal	M	30786_0043.wav	1028	ja	zwak	nee	ja	nee	ja	nee	nee	nee	volwassene	nee	nee	dialoog	ccc	FALSE
44	30786	68	21.144	1	4	moedertaal	M	30786_0044.wav	327	nee	nee	nee	nee	ja	nee	nee	nee	nee	volwassene	nee	nee	dialoog	ccc	FALSE
45	30786	71	24.672	2	4	moedertaal	M	30786_0045.wav	232	ja	zwak	langdurig	ja	nee	ja	nee	nee	nee	volwassene	nee	nee	dialoog	bbb	FALSE
46	30786	132	50.872	2	4	moedertaal	M	30786_0046.wav	233	nee	zwak	nee	ja	nee	ja	nee	nee	kort	volwassene	nee	nee	dialoog	bbb	FALSE
47	30786	95	23.488	2	4	moedertaal	M	30786_0047.wav	234	nee	zwak	nee	ja	nee	ja	nee	nee	nee	volwassene	nee	nee	dialoog	bbb	FALSE
48	30786	358	19.872	1	4	moedertaal	M	30786_0048.wav	110	nee	nee	nee	nee	nee	ja	nee	nee	nee	volwassene	nee	nee	dialoog	bbb	TRUE
49	30786	264	79.824	2	4	moedertaal	M	30786_0049.wav	1036	ja	nee	nee	ja	nee	ja	nee	nee	nee	volwassene	nee	nee	dialoog	ccc	TRUE
50	30786	89	25.744	2	4	moedertaal	M	30786_0050.wav	212	nee	zwak	nee	nee	nee	ja	nee	nee	nee	volwassene	nee	nee	dialoog	bbb	FALSE
51	30786	111	26.568	2	4	moedertaal	M	30786_0051.wav	213	nee	zwak	nee	nee	nee	ja	nee	nee	nee	volwassene	nee	nee	dialoog	bbb	FALSE
52	30786	101	28.424	1	4	moedertaal	M	30786_0052.wav	238	nee	zwak	nee	nee	nee	nee	nee	nee	nee	volwassene	nee	nee	dialoog	bbb	FALSE
53	30786	210	97.92	1	4	moedertaal	M	30786_0053.wav	1029	nee	zwak	nee	ja	nee	nee	nee	nee	nee	volwassene	nee	nee	dialoog	bbb	TRUE
54	30786	75	13.736	2	4	moedertaal	M	30786_0054.wav	239	nee	nee	nee	ja	ja	ja	nee	nee	nee	volwassene	nee	nee	dialoog	bbb	FALSE
55	30786	123	31.48	2	4	moedertaal	M	30786_0055.wav	1058	nee	zwak	nee	nee	ja	ja	nee	nee	nee	volwassene	nee	nee	dialoog	bbb	FALSE
56	30786	405	104.888	2	4	moedertaal	M	30786_0056.wav	111	nee	zwak	nee	nee	ja	ja	kort	nee	nee	volwassene	nee	nee	dialoog	bbb	TRUE
57	30786	375	164.8	2	4	moedertaal	M	30786_0057.wav	None	nee	zwak	nee	nee	nee	ja	nee	nee	nee	volwassene	nee	nee	dialoog	bbb	TRUE
58	30786	82	19.8	1	4	moedertaal	M	30786_0058.wav	1001	nee	nee	nee	nee	nee	ja	nee	nee	nee	volwassene	nee	nee	dialoog	bbb	FALSE
59	30786	133	26.168	2	4	moedertaal	M	30786_0059.wav	112	nee	zwak	nee	nee	ja	ja	nee	nee	nee	volwassene	nee	nee	dialoog	bbb	FALSE
60	30786	372	83.936	2	4	moedertaal	M	30786_0060.wav	1030	nee	nee	nee	nee	nee	nee	nee	nee	nee	volwassene	nee	nee	dialoog	ccc	TRUE
61	30786	142	46.592	1	4	moedertaal	M	30786_0061.wav	1031	ja	nee	nee	ja	nee	nee	nee	nee	nee	volwassene	nee	nee	dialoog	aaa	FALSE
62	30786	303	64.928	2	4	moedertaal	M	30786_0062.wav	113	nee	zwak	nee	nee	ja	ja	nee	nee	nee	volwassene	nee	nee	dialoog	bbb	TRUE
63	30786	92	42.264	1	4	moedertaal	M	30786_0063.wav	1009	nee	zwak	nee	nee	nee	nee	nee	nee	nee	volwassene	nee	nee	dialoog	bbb	FALSE
64	30786	143	70.96	1	4	moedertaal	M	30786_0064.wav	243	nee	zwak	nee	nee	ja	ja	nee	nee	nee	volwassene	nee	nee	dialoog	bbb	FALSE
65	30786	140	50.528	2	4	moedertaal	M	30786_0065.wav	198	nee	zwak	nee	nee	ja	ja	nee	nee	nee	volwassene	nee	nee	dialoog	bbb	FALSE
66	30786	230	83.056	2	4	moedertaal	M	30786_0066.wav	1032	ja	nee	kort	ja	nee	ja	nee	nee	nee	volwassene	nee	nee	dialoog	ccc	FALSE
67	30786	101	19.096	1	4	moedertaal	M	30786_0067.wav	114	nee	zwak	nee	ja	nee	ja	nee	nee	nee	volwassene	nee	nee	dialoog	bbb	FALSE
68	30786	92	18.472	2	4	moedertaal	M	30786_0068.wav	215	nee	zwak	nee	ja	nee	ja	nee	kort	nee	volwassene	nee	nee	dialoog	bbb	FALSE
69	30786	90	35.176	1	4	moedertaal	M	30786_0069.wav	1033	ja	nee	nee	ja	ja	nee	nee	nee	nee	volwassene	nee	nee	dialoog	ccc	FALSE
70	30786	80	24.888	2	4	moedertaal	M	30786_0070.wav	244	nee	zwak	nee	nee	nee	ja	nee	nee	nee	volwassene	nee	nee	dialoog	bbb	FALSE
71	30786	168	56.784	2	4	moedertaal	M	30786_0071.wav	1034	nee	matig	nee	nee	ja	nee	nee	nee	nee	volwassene	nee	nee	dialoog	ccc	FALSE
72	30786	151	38.808	2	4	moedertaal	M	30786_0072.wav	216	nee	nee	nee	ja	nee	ja	nee	nee	nee	volwassene	nee	nee	dialoog	bbb	FALSE
73	30786	101	31.72	1	4	moedertaal	M	30786_0073.wav	115	nee	zwak	kort	ja	nee	ja	nee	nee	nee	volwassene	nee	nee	dialoog	bbb	FALSE
74	30786	116	62.808	2	4	moedertaal	M	30786_0074.wav	1035	nee	nee	nee	nee	nee	ja	nee	nee	nee	volwassene	nee	nee	dialoog	ccc	FALSE
75	30786	63	16.44	1	4	moedertaal	M	30786_0075.wav	249	nee	zwak	nee	ja	nee	ja	nee	nee	nee	volwassene	nee	nee	dialoog	bbb	FALSE
76	30786	70	7.624	1	4	moedertaal	M	30786_0076.wav	1020	nee	zwak	nee	nee	nee	ja	nee	nee	nee	volwassene	nee	nee	dialoog	bbb	FALSE
77	30786	126	58.488	2	4	moedertaal	M	30786_0077.wav	217	nee	zwak	nee	ja	nee	ja	nee	nee	nee	volwassene	nee	nee	dialoog	bbb	FALSE
78	30786	66	11.984	1	4	moedertaal	M	30786_0078.wav	116	nee	zwak	nee	ja	nee	ja	kort	nee	kort	volwassene	nee	nee	dialoog	bbb	FALSE
79	30786	108	18.968	1	4	moedertaal	M	30786_0079.wav	1038	nee	zwak	nee	nee	nee	ja	kort	nee	nee	volwassene	nee	nee	dialoog	ccc	FALSE
80	30786	65	17.296	1	4	moedertaal	M	30786_0080.wav	117	nee	zwak	kort	nee	nee	ja	nee	nee	nee	volwassene	nee	nee	dialoog	bbb	FALSE
81	30786	102	29.504	2	4	moedertaal	M	30786_0081.wav	218	nee	zwak	nee	ja	nee	ja	nee	nee	nee	volwassene	nee	nee	dialoog	bbb	FALSE
82	30786	124	34.8	2	4	moedertaal	M	30786_0082.wav	219	nee	zwak	nee	nee	ja	ja	nee	nee	nee	volwassene	nee	nee	dialoog	bbb	FALSE
83	30786	63	21.864	2	4	moedertaal	M	30786_0083.wav	251	nee	zwak	nee	nee	nee	ja	nee	nee	nee	volwassene	nee	nee	dialoog	bbb	FALSE
84	30786	68	16.104	1	4	moedertaal	M	30786_0084.wav	1021	nee	zwak	nee	ja	nee	ja	nee	nee	nee	volwassene	nee	nee	dialoog	bbb	FALSE
85	30786	64	19.248	2	4	moedertaal	M	30786_0085.wav	252	nee	zwak	langdurig	nee	ja	ja	nee	nee	nee	volwassene	nee	nee	dialoog	bbb	FALSE
86	30786	116	30.336	1	4	moedertaal	M	30786_0086.wav	1022	nee	zwak	langdurig	nee	ja	ja	nee	nee	nee	volwassene	nee	nee	dialoog	bbb	FALSE
87	30786	150	48.128	1	4	moedertaal	M	30786_0087.wav	1096	nee	zwak	nee	nee	nee	ja	nee	nee	nee	volwassene	nee	nee	dialoog	bbb	FALSE
88	30786	269	72.968	2	4	moedertaal	M	30786_0088.wav	220	nee	zwak	nee	nee	ja	ja	nee	nee	nee	volwassene	nee	nee	dialoog	bbb	TRUE
89	30786	74	18.152	2	4	moedertaal	M	30786_0089.wav	221	nee	zwak	nee	nee	ja	ja	nee	nee	nee	volwassene	nee	nee	dialoog	bbb	FALSE
90	30786	129	41.456	1	4	moedertaal	M	30786_0090.wav	222	ja	zwak	nee	nee	ja	ja	nee	nee	nee	volwassene	nee	nee	dialoog	bbb	FALSE
91	30786	101	32.824	1	4	moedertaal	M	30786_0091.wav	1023	nee	zwak	nee	nee	nee	ja	nee	nee	nee	volwassene	nee	nee	dialoog	bbb	FALSE
92	30786	90	29.832	2	4	moedertaal	M	30786_0092.wav	1068	ja	nee	kort	nee	ja	nee	nee	nee	nee	volwassene	nee	nee	dialoog	ccc	FALSE
93	30787	62	33.288	1	4	moedertaal	F	30787_0093.wav	3	nee	zwak	nee	nee	nee	ja	nee	nee	nee	volwassene	nee	nee	dialoog	aaa	FALSE
94	30787	62	19.744	1	4	moedertaal	F	30787_0094.wav	4	ja	zwak	kort	nee	nee	nee	nee	nee	nee	volwassene	nee	nee	dialoog	aaa	FALSE
95	30787	73	22.064	1	4	moedertaal	F	30787_0095.wav	6	ja	zwak	nee	ja	nee	nee	nee	nee	nee	volwassene	nee	nee	dialoog	aaa	FALSE
96	30787	198	61.416	1	4	moedertaal	F	30787_0096.wav	9	ja	zwak	nee	ja	nee	nee	nee	nee	nee	volwassene	nee	nee	dialoog	aaa	TRUE
97	30787	157	61.112	2	4	moedertaal	F	30787_0097.wav	10	nee	zwak	nee	ja	nee	nee	nee	nee	nee	volwassene	nee	nee	dialoog	aaa	TRUE
98	30787	254	100.632	1	4	moedertaal	F	30787_0098.wav	11	nee	nee	nee	nee	ja	nee	nee	nee	nee	volwassene	nee	nee	dialoog	aaa	TRUE
99	30787	227	79.712	1	4	moedertaal	F	30787_0099.wav	15	nee	zwak	langdurig	nee	nee	ja	kort	nee	kort	volwassene	nee	nee	dialoog	bbb	TRUE
100	30787	93	61.096	1	4	moedertaal	F	30787_0100.wav	None	nee	nee	nee	nee	nee	nee	nee	nee	nee	volwassene	nee	nee	dialoog	aaa	FALSE
101	30787	94	34.792	1	4	moedertaal	F	30787_0101.wav	None	ja	zwak	nee	nee	nee	nee	nee	nee	nee	volwassene	nee	nee	dialoog	aaa	FALSE
102	30787	66	13.304	1	4	moedertaal	F	30787_0102.wav	None	ja	zwak	nee	ja	nee	nee	nee	nee	nee	volwassene	nee	nee	dialoog	aaa	FALSE
103	30787	130	16.528	2	4	moedertaal	F	30787_0103.wav	22	nee	zwak	nee	ja	nee	ja	nee	nee	nee	volwassene	nee	nee	dialoog	bbb	FALSE
104	30787	72	20.56	2	4	moedertaal	F	30787_0104.wav	None	ja	nee	kort	nee	nee	nee	nee	nee	nee	volwassene	nee	nee	dialoog	aaa	FALSE
105	30787	152	82.632	1	4	moedertaal	F	30787_0105.wav	24	nee	zwak	nee	nee	nee	ja	langdurig	nee	langdurig	volwassene	nee	nee	dialoog	bbb	TRUE
106	30787	65	20.984	1	4	moedertaal	F	30787_0106.wav	28	ja	zwak	nee	nee	nee	ja	nee	nee	nee	volwassene	nee	nee	dialoog	bbb	FALSE
107	30787	156	61.016	2	4	moedertaal	F	30787_0107.wav	29	nee	zwak	nee	ja	nee	ja	nee	nee	nee	volwassene	nee	nee	dialoog	bbb	TRUE
108	30787	209	71.352	1	4	moedertaal	F	30787_0108.wav	166	nee	zwak	nee	ja	ja	ja	nee	nee	nee	volwassene	nee	nee	dialoog	bbb	TRUE
109	30787	88	22.936	2	4	moedertaal	F	30787_0109.wav	36	nee	zwak	nee	nee	nee	ja	nee	nee	nee	volwassene	nee	nee	dialoog	bbb	FALSE
110	30787	358	247.288	1	4	moedertaal	F	30787_0110.wav	48	nee	zwak	kort	ja	nee	ja	nee	nee	nee	volwassene	nee	nee	dialoog	bbb	TRUE
111	30787	405	143.816	2	4	moedertaal	F	30787_0111.wav	56	nee	zwak	langdurig	nee	nee	ja	kort	kort	nee	volwassene	nee	nee	dialoog	bbb	TRUE
112	30787	133	55.504	2	4	moedertaal	F	30787_0112.wav	59	nee	zwak	nee	nee	nee	ja	nee	nee	nee	volwassene	nee	nee	dialoog	bbb	FALSE
113	30787	303	107.192	2	4	moedertaal	F	30787_0113.wav	62	nee	zwak	nee	ja	nee	ja	nee	nee	nee	volwassene	nee	nee	dialoog	bbb	TRUE
114	30787	101	59.8	1	4	moedertaal	F	30787_0114.wav	67	nee	zwak	nee	nee	nee	ja	nee	nee	nee	volwassene	nee	nee	dialoog	bbb	FALSE
115	30787	101	20.616	1	4	moedertaal	F	30787_0115.wav	73	nee	zwak	nee	nee	nee	ja	nee	nee	kort	volwassene	nee	nee	dialoog	bbb	FALSE
